sid,sim,eid
1945,0.09910350292921066,865
1945,0.08771007508039474,1878
1945,0.07946638017892838,943
1945,0.07758999615907669,1149
1946,0.13953346014022827,71
1946,0.1120951920747757,14
1946,0.08535774052143097,1164
1946,0.08381116390228271,1033
1946,0.07858149707317352,1764
1947,0.32507458329200745,581
1947,0.09193256497383118,1218
1947,0.0785285159945488,837
1947,0.07431233674287796,1598
1947,0.06879828125238419,176
1948,0.06883251667022705,358
1948,0.06636270135641098,688
1948,0.06363736838102341,1134
1948,0.06332477927207947,555
1948,0.05936206504702568,1273
1949,0.08885257691144943,496
1949,0.08325701206922531,724
1949,0.068571075797081,1042
1949,0.06406460702419281,1819
1949,0.060774777084589005,296
1950,0.12224884331226349,2055
1950,0.08573181927204132,1852
1950,0.0855971947312355,1969
1950,0.07772406190633774,2062
1950,0.06808600574731827,785
1951,0.1839420050382614,1206
1951,0.17032384872436523,1152
1951,0.1370956152677536,2127
1951,0.12516891956329346,1196
1951,0.09906598180532455,1124
1952,0.24614429473876953,1786
1952,0.16411477327346802,1733
1952,0.1580219864845276,934
1952,0.12945638597011566,1628
1952,0.10076743364334106,815
1953,0.14533409476280212,1365
1953,0.0992334708571434,327
1953,0.05585646629333496,840
